Time(10ps),/test/GPSDC_u1/Valid,/test/GPSDC_u1/D[39:0],/test/GPSDC_u1/a[63:0],/test/GPSDC_u1/c_state[3:0],/test/GPSDC_u1/n_state[3:0],/test/GPSDC_u1/LON_IN_A[23:0],/test/GPSDC_u1/LON_IN_B[23:0],/test/GPSDC_u1/LAT_IN_A[23:0],/test/GPSDC_u1/LAT_IN_B[23:0],/test/GPSDC_u1/COS_127[95:0],/test/GPSDC_u1/COS_0[95:0],/test/GPSDC_u1/ASIN_63[127:0],/test/GPSDC_u1/ASIN_0[127:0],/test/GPSDC_u1/first_result_r[95:0],/test/GPSDC_u1/a_r[63:0],/test/GPSDC_u1/cosA[31:0],/test/GPSDC_u1/cosB[31:0],/test/GPSDC_u1/inner_result_r[63:0],/test/GPSDC_u1/p_h[6:0],/test/GPSDC_u1/p_l[6:0],/test/GPSDC_u1/asin_p_h[5:0],/test/GPSDC_u1/asin_p_l[5:0],/test/GPSDC_u1/cos_y0[47:0],/test/GPSDC_u1/cos_y1[47:0],/test/GPSDC_u1/asin_y0[47:0],/test/GPSDC_u1/asin_y1[47:0],/test/GPSDC_u1/cos_x0[47:0],/test/GPSDC_u1/cos_x1[47:0],/test/GPSDC_u1/asin_x0[47:0],/test/GPSDC_u1/asin_x1[47:0],/test/GPSDC_u1/clk,/test/GPSDC_u1/reset_n,/test/GPSDC_u1/DEN,/test/GPSDC_u1/LON_IN[23:0],/test/GPSDC_u1/LAT_IN[23:0],/test/GPSDC_u1/COS_DATA[95:0],/test/GPSDC_u1/COS_ADDR[6:0],/test/GPSDC_u1/ASIN_DATA[127:0],/test/GPSDC_u1/ASIN_ADDR[5:0],/test/GPSDC_u1/LAT_w[47:0],/test/GPSDC_u1/sel_a1[23:0],/test/GPSDC_u1/sel_a2[23:0],/test/GPSDC_u1/angle_diff[24:0],/test/GPSDC_u1/rad[15:0],/test/GPSDC_u1/ang_mul[40:0],/test/GPSDC_u1/ang_result[48:0],/test/GPSDC_u1/sin2[63:0],/test/GPSDC_u1/first_result[95:0],/test/GPSDC_u1/mid_left[127:0],/test/GPSDC_u1/a_w[63:0],/test/GPSDC_u1/inner_result_w[63:0],/test/GPSDC_u1/inner_up[127:0],/test/GPSDC_u1/inner_down[63:0],/test/GPSDC_u1/up_C[63:0],/test/GPSDC_u1/up_D[63:0],/test/GPSDC_u1/sel_y0[63:0],/test/GPSDC_u1/sel_y1[63:0],/test/GPSDC_u1/sel_x0[63:0],/test/GPSDC_u1/sel_x1[63:0],/test/GPSDC_u1/sel_x[63:0],/test/GPSDC_u1/cos_in[47:0],/test/GPSDC_u1/cos_val[47:0],/test/GPSDC_u1/asin_in[63:0],/test/GPSDC_u1/asin_val[63:0],/test/GPSDC_u1/D_w[47:0],/test/GPSDC_u1/COS_ADDR_w[7:0],/test/GPSDC_u1/ASIN_ADDR_w[6:0]
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
60200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,X,0,0,0,0,0,0,0,0,0,106429289594,4030522823,0,0,0,0,0
70000,0,0,0,0,0,0,0,0,0,0,29957181809802817000236487,0,0,0,0,0,0,0,0,0,0,0,4030522823,0,0,0,106429289594,0,0,0,1,1,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,-1963273867087237150783154683904,-106429289594,-106429289594,-4030522823,4030522823,0,106429289594,0,0,106429289594,4030522823,0,0,0,0,0
80000,0,0,0,0,0,0,0,0,0,0,29957181809802817000236487,0,0,0,0,0,0,0,0,0,0,0,4030522823,0,0,0,106429289594,0,0,0,0,1,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,-1963273867087237150783154683904,-106429289594,-106429289594,-4030522823,4030522823,0,106429289594,0,0,106429289594,4030522823,0,0,0,0,0
90000,0,0,0,0,0,0,0,0,0,0,29957181809802817000236487,0,0,0,0,0,0,0,0,0,0,0,4030522823,0,0,0,106429289594,0,0,0,1,1,0,X,X,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,-1963273867087237150783154683904,-106429289594,-106429289594,-4030522823,4030522823,0,106429289594,0,0,106429289594,4030522823,0,0,0,0,0
90100,0,0,0,0,-8,0,0,0,0,0,29957181809802817000236487,0,0,0,0,0,0,0,0,0,0,0,4030522823,0,0,0,106429289594,0,0,0,1,1,1,7929901,1624285,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,-1963273867087237150783154683904,-106429289594,-106429289594,-4030522823,4030522823,0,106429289594,0,0,106429289594,4030522823,0,0,0,0,0
100000,0,0,0,0,-8,0,0,0,0,0,29957181809802817000236487,0,0,0,0,0,0,0,0,0,0,0,4030522823,0,0,0,106429289594,0,0,0,0,1,1,7929901,1624285,29957181809802817000236487,0,0,0,0,0,0,0,1143,0,0,0,0,0,0,0,-1963273867087237150783154683904,-106429289594,-106429289594,-4030522823,4030522823,0,106429289594,0,0,106429289594,4030522823,0,0,0,0,0
110000,0,0,0,-8,1,0,7929901,0,1624285,0,29957181809802817000236487,0,0,0,0,0,0,0,-1,-1,-1,-1,4030522823,0,0,0,106429289594,0,0,0,1,1,1,7929901,1624285,29972103354512802873059397,-1,10154288507614387216683880941,-1,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4050374989,74716230395591444963408543744,-106429289594,19852166,-4030522823,4030522823,0,106429289594,0,106449141760,106482301570,4048529477,550465083,100768489656813,0,-2,-2
110100,0,0,0,-8,1,0,7929901,0,1624285,0,29957181809802817000236487,0,0,0,0,0,0,0,-1,-1,-1,-1,4030522823,0,0,0,106429289594,0,0,0,1,1,0,X,X,29972103354512802873059397,-1,10154288507614387216683880941,-1,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4050374989,74716230395591444963408543744,-106429289594,19852166,-4030522823,4030522823,0,106429289594,0,106449141760,106482301570,4048529477,550465083,100768489656813,0,-2,-2
120000,0,0,0,-8,1,0,7929901,0,1624285,0,29957181809802817000236487,0,0,0,0,0,0,0,-1,-1,-1,-1,4030522823,0,0,0,106429289594,0,0,0,0,1,0,X,X,29972103354512802873059397,-1,10154288507614387216683880941,-1,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4050374989,74716230395591444963408543744,-106429289594,19852166,-4030522823,4030522823,0,106429289594,0,106449141760,106482301570,4048529477,550465083,100768489656813,0,-2,-2
130000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,-1,0,-1,0,4030522823,4048529477,0,100768489656813,106429289594,106482301570,0,550465083,1,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037266036,214023450244640812,53011976,19852166,18006654,4030522823,4048529477,106429289594,106482301570,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
140000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,-1,0,-1,0,4030522823,4048529477,0,100768489656813,106429289594,106482301570,0,550465083,0,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037266036,214023450244640812,53011976,19852166,18006654,4030522823,4048529477,106429289594,106482301570,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
150000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,0,-1,0,4030522823,4039532179,0,100768489656813,106429289594,106455586874,0,550465083,1,1,0,X,X,29960824076861154477003958,31,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037324105,106170642453686536,26297280,19852166,9009356,4030522823,4039532179,106429289594,106455586874,106449141760,106442229526,4034974902,270863771,70686311705317,0,63,63
160000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,0,-1,0,4030522823,4039532179,0,100768489656813,106429289594,106455586874,0,550465083,0,1,0,X,X,29960824076861154477003958,31,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037324105,106170642453686536,26297280,19852166,9009356,4030522823,4039532179,106429289594,106455586874,106449141760,106442229526,4034974902,270863771,70686311705317,0,63,63
170000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,31,-1,0,4034974902,4039532179,0,100768489656813,106442229526,106455586874,0,550465083,1,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037333226,53928064902306714,13357348,6912234,4557277,4034974902,4039532179,106442229526,106455586874,106449141760,106448908200,4037258422,270863771,70686311705317,0,94,63
180000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,31,-1,0,4034974902,4039532179,0,100768489656813,106442229526,106455586874,0,550465083,0,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037333226,53928064902306714,13357348,6912234,4557277,4034974902,4039532179,106442229526,106455586874,106449141760,106448908200,4037258422,270863771,70686311705317,0,94,63
190000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,47,-1,0,4037258422,4039532179,0,100768489656813,106448908200,106455586874,0,550465083,1,1,0,X,X,29963643896274066576050793,55,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037337937,26964063912977348,6678674,233560,2273757,4037258422,4039532179,106448908200,106455586874,106449141760,106452247537,4038396521,270863771,70686311705317,0,110,63
200000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,63,47,-1,0,4037258422,4039532179,0,100768489656813,106448908200,106455586874,0,550465083,0,1,0,X,X,29963643896274066576050793,55,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037337937,26964063912977348,6678674,233560,2273757,4037258422,4039532179,106448908200,106455586874,106449141760,106452247537,4038396521,270863771,70686311705317,0,110,63
210000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,55,47,-1,0,4037258422,4038396521,0,100768489656813,106448908200,106452247537,0,550465083,1,1,0,X,X,29963173926231177071189184,51,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338022,13482032241548654,3339337,233560,1138099,4037258422,4038396521,106448908200,106452247537,106449141760,106450577868,4037827776,270863771,70686311705317,0,102,63
220000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,55,47,-1,0,4037258422,4038396521,0,100768489656813,106448908200,106452247537,0,550465083,0,1,0,X,X,29963173926231177071189184,51,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338022,13482032241548654,3339337,233560,1138099,4037258422,4038396521,106448908200,106452247537,106449141760,106450577868,4037827776,270863771,70686311705317,0,102,63
230000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,51,47,-1,0,4037258422,4037827776,0,100768489656813,106448908200,106450577868,0,550465083,1,1,0,X,X,29962938941350469807113479,49,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338065,6741014173264136,1669668,233560,569354,4037258422,4037827776,106448908200,106450577868,106449141760,106449743034,4037543175,270863771,70686311705317,0,98,63
240000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,51,47,-1,0,4037258422,4037827776,0,100768489656813,106448908200,106450577868,0,550465083,0,1,0,X,X,29962938941350469807113479,49,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338065,6741014173264136,1669668,233560,569354,4037258422,4037827776,106448908200,106450577868,106449141760,106449743034,4037543175,270863771,70686311705317,0,98,63
250000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,49,47,-1,0,4037258422,4037543175,0,100768489656813,106448908200,106449743034,0,550465083,1,1,0,X,X,29962821448910116175075569,48,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338086,3370507104382628,834834,233560,284753,4037258422,4037543175,106448908200,106449743034,106449141760,106449325617,4037400817,270863771,70686311705317,0,96,63
260000,0,0,0,1,1,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,49,47,-1,0,4037258422,4037543175,0,100768489656813,106448908200,106449743034,0,550465083,0,1,0,X,X,29962821448910116175075569,48,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338086,3370507104382628,834834,233560,284753,4037258422,4037543175,106448908200,106449743034,106449141760,106449325617,4037400817,270863771,70686311705317,0,96,63
270000,0,0,0,1,-5,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,48,47,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,1,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106448908200,4037258422,270863771,70686311705317,0,95,63
280000,0,0,0,1,-5,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,48,47,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,0,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106448908200,4037258422,270863771,70686311705317,0,95,63
290000,0,0,0,-5,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,48,47,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,1,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106448908200,4037258422,270863771,70686311705317,0,95,63
300000,0,0,0,-5,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,0,0,48,47,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,0,1,0,X,X,29962703956469762543037622,47,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,0,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106448908200,4037258422,270863771,70686311705317,0,95,63
310000,0,0,0,4,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,-257629199,0,-1,0,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,1,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,3478980994607146666579571513,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
320000,0,0,0,4,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,-257629199,0,-1,0,-1,0,4037258422,4037400817,0,100768489656813,106448908200,106449325617,0,550465083,0,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,3478980994607146666579571513,0,861701673484381129,4037338097,1685253556512174,417417,233560,142395,4037258422,4037400817,106448908200,106449325617,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
330000,0,0,0,4,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,-257629199,0,-1,0,-1,0,4030522823,4048529477,0,100768489656813,106429289594,106482301570,0,550465083,1,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,3478980994607146666579571513,0,861701673484381129,4037266036,214023450244640812,53011976,19852166,18006654,4030522823,4048529477,106429289594,106482301570,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
340000,0,0,0,4,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,-257629199,0,-1,0,-1,0,4030522823,4048529477,0,100768489656813,106429289594,106482301570,0,550465083,0,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,3478980994607146666579571513,0,861701673484381129,4037266036,214023450244640812,53011976,19852166,18006654,4030522823,4048529477,106429289594,106482301570,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
350000,0,0,0,4,4,0,7929901,0,1624285,29972103354512802873059397,29957181809802817000236487,10154288507614387216683880941,0,0,0,0,-257629199,0,-1,0,-1,0,4030522823,4048529477,0,100768489656813,106429289594,106482301570,0,550465083,1,1,0,X,X,29964583836078370609061523,63,4996554662476941795740609253,31,106449141760,1624285,0,1624285,1143,1856557755,928278877,861701673484381129,3478980994607146666579571513,0,861701673484381129,4037266036,214023450244640812,53011976,19852166,18006654,4030522823,4048529477,106429289594,106482301570,106449141760,106455586874,4039532179,270863771,70686311705317,0,127,63
